No,대분류,중분류,항목,세부내용 · 확인 포인트,필요여부,진행상태,우선순위,수량,단위,담당,업체,마감일,D-Day,예상비용(원),비고
1,시스템,무대,무대,치수/MC-BACK/카메라다이/합판마감,필요,미착수,중,,,,,,,,
2,시스템,무대,레이어,,필요,미착수,중,,,,,,,,
3,시스템,무대,음향,"악기내역/반주(MR,AR)/인이어/인터컴",필요,미착수,중,,,,,,,,
4,시스템,무대,조명,"핀 타워 : 높이, 거리",필요,미착수,중,,,,,,,,
5,시스템,무대,영상,,필요,미착수,중,,,,,,,,
6,시스템,무대,발전차,,필요,미착수,중,,,,,,,,
7,시스템,무대,특효,"꽃가루, 화약 사용 체크",필요,미착수,중,,,,,,,,
8,시스템,무대,레이저,,필요,미착수,중,,,,,,,,
9,시스템,무대,중계,"현장, 유투브,방송",필요,미착수,중,,,,,,,,
10,시스템,무대,악기,"드럼, 악기앰프",필요,미착수,중,,,,,,,,
11,시스템,소스,영상물,루핑 영상 / 주제 영상 / 식순 / 내빈소개 / 프로그램,필요,미착수,중,,,,,,,,
12,시스템,소스,VJ,,필요,미착수,중,,,,,,,,
13,시설,기반,전기,"메인 위치, 거리 / 용량 체크 / 전기 내역 체크 / 접지",필요,미착수,중,,,,,,,,
14,시설,기반,수도,"급배수,정화조,씽크대",필요,미착수,중,,,,,,,,
15,시설,기반,가스,,필요,미착수,중,,,,,,,,
16,시설,기반,인터넷,,필요,미착수,중,,,,,,,,
17,시설,렌탈,텐트(5*5),,필요,미착수,중,0,,,,,,,
18,시설,렌탈,텐트(3*3),,필요,미착수,중,0,,,,,,,
19,시설,렌탈,캐노피텐트(3*6),,필요,미착수,중,,,,,,,,
20,시설,렌탈,그늘막텐트,,필요,미착수,중,0,,,,,,,
21,시설,렌탈,듀라테이블,,필요,미착수,중,0,,,,,,,
22,시설,렌탈,의자,,필요,미착수,중,0,,,,,,,
23,시설,렌탈,포듐,,필요,미착수,중,0,,,,,,,
24,시설,렌탈,펜스,,필요,미착수,중,0,,,,,,,
25,시설,렌탈,라바콘/봉,,필요,미착수,중,0,,,,,,,
26,시설,렌탈,벨트차단봉,,필요,미착수,중,0,,,,,,,
27,시설,렌탈,소화기,,필요,미착수,중,0,,,,,,,
28,시설,렌탈,파라솔테이블,,필요,미착수,중,0,,,,,,,
29,시설,렌탈,거울,,필요,미착수,중,0,,,,,,,
30,시설,렌탈,행거,,필요,미착수,중,0,,,,,,,
31,시설,렌탈,옐로쟈켓,,필요,미착수,중,0,,,,,,,
32,시설,렌탈,모바일화장실,,필요,미착수,중,0,,,,,,,
33,시설,기타,입구아치,,필요,미착수,중,0,,,,,,,
34,시설,기타,미니트러스,,필요,미착수,중,0,,,,,,,
35,시설,기타,포토존,,필요,미착수,중,0,,,,,,,
36,시설,기타,쇼케이스(냉장고),,필요,미착수,중,0,,,,,,,
37,시설,기타,평대냉장고,,필요,미착수,중,0,,,,,,,
38,시설,기타,냉동고,,필요,미착수,중,0,,,,,,,
39,행사,연출,큐시트,,필요,미착수,중,,,,,,,,
40,행사,연출,시나리오,,필요,미착수,중,,,,,,,,
41,행사,연출,운영매뉴얼,,필요,미착수,중,,,,,,,,
42,행사,개막식,사회자,,필요,미착수,중,,,,,,,,
43,행사,개막식,개막퍼포먼스,,필요,미착수,중,,,,,,,,
44,행사,개막식,도우미,,필요,미착수,중,,,,,,,,
45,행사,개막식,내빈명단,,필요,미착수,중,,,,,,,,
46,행사,개막식,인사말명단,,필요,미착수,중,,,,,,,,
47,행사,개막식,퍼포먼스명단,,필요,미착수,중,,,,,,,,
48,행사,공연,사회자,,필요,미착수,중,,,,,,,,
49,행사,공연,(출연진명),,필요,미착수,중,,,,,,,,
50,행사,공연,악기,,필요,미착수,중,,,,,,,,
51,행사,경연,(프로그램),[확인] 모집 / 심사위원 / 상장 / 상금 / 부상,필요,미착수,중,,,,,,,,
52,행사,경연,(프로그램),,필요,미착수,중,,,,,,,,
53,행사,경연,(프로그램),,필요,미착수,중,,,,,,,,
54,행사,"참여,체험",(프로그램),"[확인] 소품,소모품,비품,강사,전기",필요,미착수,중,,,,,,,,
55,행사,"참여,체험",(프로그램),,필요,미착수,중,,,,,,,,
56,행사,"참여,체험",(프로그램),,필요,미착수,중,,,,,,,,
57,행사,전시,(전시명),"[확인] 전시품,디자인,캡션,배치,전기,조명",필요,미착수,중,,,,,,,,
58,행사,전시,(전시명),,필요,미착수,중,,,,,,,,
59,행사,전시,(전시명),,필요,미착수,중,,,,,,,,
60,행사,먹거리,(부스명),"[확인] 메뉴,가격",필요,미착수,중,,,,,,,,
61,행사,판매,(부스명),"[확인] 전기,종목,가격",필요,미착수,중,,,,,,,,
62,행사,부대행사,(프로그램),,필요,미착수,중,,,,,,,,
63,홍보,공통,디자인,,필요,미착수,중,,,,,,,,
64,홍보,온라인,홈페이지,,필요,미착수,중,,,,,,,,
65,홍보,온라인,유투브,,필요,미착수,중,,,,,,,,
66,홍보,온라인,SNS,,필요,미착수,중,,,,,,,,
67,홍보,온라인,카페/블로그,,필요,미착수,중,,,,,,,,
